Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Eviota infulata,Shouldermark dwarfgoby,Gobiidae,benthic,family,320,140,798,1.23,0.64,2.45,0.198,0.088,0.408,18.4,16.4,20.2,18.8,8,44.5,177,44,631,2.65,1.51,4.46
Eviota mikiae,Miki's dwarfgoby,Gobiidae,benthic,family,310,136,738,1.1,0.6,2.2,0.131,0.057,0.27,18,16,20,22.9,9.8,54.8,129,34,460,2.59,1.47,4.46
Eviota nebulosa,Nebulous dwarfgoby,Gobiidae,benthic,family,460,183,"1,161",1.27,0.65,2.63,0.144,0.058,0.324,17.9,15.8,19.7,19.3,7.5,50.8,181,45,711,3.06,1.65,5.53
Eviota nigriventris,Redbelly dwarfgoby,Gobiidae,benthic,family,338,144,812,1.13,0.61,2.25,0.134,0.057,0.281,18,16,20,21.8,9.1,52.8,146,38,528,2.71,1.52,4.72
Eviota prasina,Greenbubble dwarfgoby,Gobiidae,benthic,family,314,136,738,1.08,0.58,2.13,0.133,0.057,0.277,17.9,16,19.7,21.3,9,51.6,160,42,570,2.68,1.5,4.65
Eviota sebreei,Sebree's dwarfgoby,Gobiidae,benthic,family,372,156,903,1.16,0.61,2.33,0.138,0.057,0.296,17.9,15.9,19.7,20.4,8.3,51.2,169,43,626,2.84,1.57,5.04
Eviota sigillata,Adorned dwarfgoby,Gobiidae,benthic,family,533,206,"1,551",1.68,0.8,3.69,0.137,0.054,0.316,18.4,16.2,20.3,28,8,77,51.2,10.2,256.9,2.72,1.46,5.1
Eviota zebrina,Zebra dwarfgoby,Gobiidae,benthic,family,372,156,903,1.16,0.61,2.33,0.138,0.057,0.296,17.9,15.9,19.7,20.4,8.3,51.2,169,43,626,2.84,1.57,5.04
Exallias brevis,Leopard blenny,Blenniidae,benthic,species,94.2,54.7,164.5,0.64,0.37,1.16,0.169,0.1,0.283,19.3,18.1,20.4,25,12,51,130,41,430,1.23,0.8,1.87
Exocoetus monocirrhus,Barbel flyingfish,Exocoetidae,pelagic,family,372,177,907,2.03,1.16,3.34,0.279,0.117,0.743,17.7,15.8,19.6,50.5,23.8,109.3,21.4,7.2,81.1,1.56,1.01,2.33
Exyrias belissimus,Mud reef-goby,Gobiidae,benthic,species,84.6,45.5,158.9,0.744,0.418,1.273,0.142,0.072,0.233,18.4,16.6,20.1,28.8,15.3,51,82.8,23.8,247.3,1.72,1.07,2.58
Fibramia lateralis,Humpback cardinal,Apogonidae,pelagic,species,180,82,346,1.07,0.59,2.33,0.34,0.15,0.8,18.1,16.8,19.3,24.2,7.2,66.6,99.6,23.2,396.7,1.83,1.09,2.99
Fibramia thermalis,Half-barred cardinal,Apogonidae,benthic,species,195,108,436,0.971,0.611,1.671,0.128,0.072,0.23,18.9,17.8,20,31.5,15.2,63.5,79.8,26.8,231.2,1.94,1.28,2.89
Fistularia commersonii,Bluespotted cornetfish,Fistulariidae,pelagic,species,37.1,19,70.9,0.629,0.392,1.092,0.108,0.061,0.195,19.4,18.1,20.6,74,37,151,24.6,8.3,74.2,0.687,0.465,1.016
Fistularia petimba,Red cornetfish,Fistulariidae,pelagic,species,42.5,18.9,84.3,0.788,0.416,1.492,0.211,0.095,0.486,18.3,17,19.5,75.5,24.5,181.3,27.4,6.9,108.1,0.842,0.526,1.329
Forcipiger flavissimus,Longnose butterfly fish,Chaetodontidae,benthic,species,78.4,47.8,127.8,0.77,0.51,1.24,0.134,0.087,0.202,19.1,18,20.1,31.2,17.7,56.8,38.6,12.7,120.6,1.3,0.9,1.9
Forcipiger longirostris,Longnose butterflyfish,Chaetodontidae,benthic,species,81.4,49,134.8,0.733,0.485,1.231,0.142,0.092,0.219,19.2,18.2,20.2,30.6,17.2,57.1,46.5,15.2,142,1.23,0.84,1.79
Fowleria aurita,Crosseyed cardinalfish,Apogonidae,benthic,species,146,83,266,0.91,0.58,1.64,0.163,0.095,0.279,19,18,20,24.6,12.3,49.2,72.3,22.8,235.4,1.56,1.02,2.37
Fowleria vaiulae,Mottled cardinalfish,Apogonidae,benthic,genus,245,125,507,1.15,0.69,2.32,0.182,0.094,0.349,19.1,17.8,20.3,22.8,9.8,51.5,75.1,21.5,283.2,1.82,1.14,2.95
Fowleria variegata,Variegated cardinalfish,Apogonidae,benthic,species,164,92,309,0.965,0.61,1.78,0.167,0.094,0.294,19.1,17.9,20.2,24.4,11.9,50.5,70.4,21.7,234.5,1.61,1.05,2.48
Fusigobius duospilus,Barenape goby,Gobiidae,benthic,family,203,95,446,0.917,0.507,1.736,0.12,0.05,0.23,18.1,16.2,19.8,25.6,11.8,55.9,114,31,382,2.24,1.3,3.69
Fusigobius maximus,Large sandgoby,Gobiidae,benthic,family,485,223,997,1.16,0.65,2.24,0.204,0.097,0.385,17.3,15.5,19,47.2,21.6,107.8,31.7,10.3,91.1,1.92,1.13,3.13
Fusigobius neophytus,Common fusegoby,Gobiidae,benthic,family,149,78,319,0.956,0.537,1.663,0.161,0.078,0.282,18.4,16.6,20.1,25.1,12.4,48.2,96.2,27.2,301.5,2.04,1.25,3.2
Galeocerdo cuvier,Tiger shark,Galeocerdonidae,benthic,species,12.9,1.4,52.4,0.911,0.227,2.901,0.473,0.163,1.251,20.4,18,22.7,43.4,7,131.6,5.79,1.52,22.69,0.381,0.177,0.849
Gazza minuta,Toothpony,Leiognathidae,pelagic,species,355,163,734,1.81,1.01,3.61,0.676,0.296,1.602,18.6,17.1,20.3,60.1,24.2,154.6,36.6,10.9,130.3,1.46,0.94,2.61
Gempylus serpens,Snake mackerel,Gempylidae,pelagic,species,15.6,7.4,31.3,0.383,0.197,0.739,0.284,0.158,0.508,17.5,15.1,19.7,19.4,8.5,41.3,14.3,3.8,57.2,0.361,0.251,0.528
Gerres filamentosus,Whipfin silver-biddy,Gerreidae,benthic,species,176,90,312,1.14,0.62,1.9,0.508,0.24,1.067,17.5,15.5,19.5,64.9,33.1,134.7,19.5,6.1,53.8,1.44,0.92,2.22
Gerres longirostris,Strongspine silver-biddy,Gerreidae,benthic,species,53.9,26.1,102,0.724,0.369,1.37,0.286,0.132,0.639,18.3,16.1,20.3,35.1,17.2,78.6,84.5,20,311.4,1.49,0.9,2.34
Gerres oblongus,Slender silver-biddy,Gerreidae,benthic,species,59.4,33.8,114.1,0.661,0.38,1.078,0.153,0.095,0.261,19.5,17.4,21.4,37.1,21.5,59,65.4,20.1,180.9,1.28,0.8,1.82
Gerres oyena,Common silver-biddy,Gerreidae,benthic,species,92.7,44.2,187,1.19,0.57,2.21,0.274,0.125,0.619,18.2,15.9,20.3,40.1,18.8,87,30.9,6.7,124.1,1.87,1.14,2.93
Glossogobius giuris,Tank goby,Gobiidae,pelagic,species,333,182,642,1.58,0.99,2.49,0.444,0.187,0.976,16,15,17,56,29,114,14.2,5.2,40.3,1.66,1.07,2.35
Glyptoparus delicatulus,Delicate blenny,Blenniidae,benthic,species,200,98,438,1.14,0.65,2.03,0.111,0.054,0.216,18,17,19,24.7,11.1,56.2,76.4,20.7,288.4,2.75,1.69,4.59
Gnathanodon speciosus,Golden trevally,Carangidae,benthic,species,39.1,22.5,70.2,0.657,0.425,1.151,0.14,0.09,0.22,20.4,19.4,21.4,61.2,36,106.9,19.7,7,52,0.826,0.557,1.16
Gnathodentex aureolineatus,Striped large-eye bream,Lethrinidae,benthic,species,60.1,34.2,115,0.598,0.366,0.98,0.141,0.084,0.208,19.9,18,21.7,36.6,21.6,60.3,69.2,21,192.4,1.23,0.83,1.73
Gnatholepis anjerensis,Eye-bar goby,Gobiidae,benthic,genus,155,66,321,1.2,0.6,2.3,0.283,0.108,0.692,16.9,15,18.7,23.5,10.2,56.6,103,21,424,2.82,1.64,4.69
Gnatholepis cauerensis,Eyebar goby,Gobiidae,benthic,genus,202,83,430,1.34,0.69,2.61,0.298,0.111,0.751,16.9,15,18.7,21.9,9.2,54.3,110,22,472,3.09,1.79,5.16
Gobiodon citrinus,Poison goby,Gobiidae,benthic,species,162,81,304,0.884,0.485,1.708,0.158,0.073,0.288,18.3,16.3,20.1,20.8,9.9,45.1,95.2,25.6,351.9,1.75,1.02,2.91
Gobiodon rivulatus,Rippled coralgoby,Gobiidae,benthic,species,251,104,518,1.21,0.59,2.73,0.321,0.123,0.839,17,15,19,18.1,5.3,52.9,141,29,617,2.46,1.34,4.44
Gomphosus caeruleus,Green birdmouth wrasse,Labridae,benthic,species,51.7,32.2,92.3,0.595,0.349,0.992,0.145,0.096,0.209,18.8,16,21.1,35.2,20.9,55.2,95,33,292,1.44,1.02,2.52
Gomphosus varius,Bird wrasse,Labridae,benthic,species,52.7,32.9,94.5,0.572,0.321,0.969,0.15,0.1,0.22,18.8,15.9,21.1,33.7,19.8,53.6,117,40,368,1.42,0.99,2.51
Gracila albomarginata,Masked grouper,Serranidae,pelagic,species,41.7,23.6,76.2,0.58,0.35,0.93,0.164,0.108,0.248,18.5,16.5,20.3,36.2,20.8,64.8,164,60,478,0.955,0.65,1.424
Grammistes sexlineatus,Goldenstriped soapfish,Serranidae,pelagic,species,58.9,35,112.8,0.557,0.329,0.921,0.16,0.11,0.24,18.6,16.7,20.5,35.4,20.5,61.7,106,37,321,1.2,0.8,1.7
Gunnellichthys curiosus,Curious wormfish,Gobiidae,benthic,species,107,61,201,0.686,0.403,1.115,0.116,0.069,0.194,18.6,17.5,19.6,28.4,14.8,53.2,138,49,365,1.81,1.21,2.67
Gymnocaesio gymnoptera,Slender fusilier,Caesionidae,pelagic,species,50.4,27.3,85.4,0.637,0.361,1.05,0.165,0.102,0.265,18.7,17.7,19.8,25.3,12.5,49.5,295,102,882,1.32,0.89,1.96
Gymnocranius grandoculis,Blue-lined large-eye bream,Lethrinidae,pelagic,species,31.1,18,54.8,0.462,0.288,0.742,0.122,0.074,0.176,20.1,18.2,21.9,47.2,28.1,75.9,45.1,13.8,122.3,0.926,0.638,1.307
Gymnocranius griseus,Grey large-eye bream,Lethrinidae,benthic,species,44.3,25.8,77.5,0.539,0.335,0.85,0.126,0.075,0.187,19.6,17.6,21.4,35.7,21.1,57.5,71.3,20.8,201,1.27,0.85,1.79
Gymnomuraena zebra,Zebra moray,Muraenidae,benthic,species,22.8,12.4,39.7,0.36,0.21,0.62,0.105,0.046,0.273,19.5,17.3,21.9,55.9,29.9,105.2,43,11,146,0.888,0.602,1.266
Gymnosarda unicolor,Dogtooth tuna,Scombridae,pelagic,species,13.6,7.5,22.7,0.461,0.239,0.911,0.141,0.09,0.232,22,21,23,62.7,35,123,64.3,23.5,187.9,0.569,0.386,0.84
Gymnothorax breedeni,Blackcheek moray,Muraenidae,pelagic,species,29.3,16.3,52.1,0.428,0.244,0.727,0.136,0.063,0.366,19.7,17.4,22.1,49.2,25.4,89.2,119,34,394,0.757,0.526,1.066
Gymnothorax buroensis,Vagrant moray,Muraenidae,benthic,species,85.1,41.4,162.4,0.691,0.424,1.29,0.277,0.109,0.769,18.3,16.1,20.7,38.9,17,86.1,97.5,22.9,368.3,1.59,1.03,2.4
Gymnothorax enigmaticus,Enigmatic moray,Muraenidae,pelagic,genus,48.7,28.6,83.8,0.46,0.26,0.76,0.133,0.062,0.347,19.7,17.5,22,43.7,24.7,83.9,75.3,21.5,244.8,1.05,0.74,1.45
Gymnothorax favagineus,Laced moray,Muraenidae,benthic,species,18,8,37,0.33,0.19,0.68,0.209,0.078,0.612,18.7,16.4,21.1,59.2,25.6,140.4,65.5,14.3,294.4,0.861,0.519,1.407
Gymnothorax fimbriatus,Fimbriated moray,Muraenidae,pelagic,species,43.9,21.2,84.6,0.503,0.299,0.96,0.245,0.098,0.701,18.5,16.3,20.9,46.8,20.9,103.8,82.9,19.1,326.5,1.22,0.78,1.88
Gymnothorax flavimarginatus,Yellow-edged moray,Muraenidae,benthic,species,17.2,8.9,31.5,0.278,0.146,0.505,0.11,0.05,0.3,19.9,17.7,22.3,59.2,30.9,124.6,55.7,14.3,197.7,0.7,0.5,1
Gymnothorax griseus,Geometric moray,Muraenidae,pelagic,genus,44.8,26.3,77.2,0.443,0.25,0.732,0.13,0.06,0.34,19.7,17.5,22,44.9,25.5,86.3,72.5,20.8,233.3,1.02,0.71,1.41
Gymnothorax javanicus,Giant moray,Muraenidae,pelagic,species,14,7,26,0.266,0.144,0.489,0.101,0.042,0.282,19.8,17.5,22.2,62.7,32.2,131.3,45.8,11.2,168.6,0.686,0.447,1.019
Gymnothorax margaritophorus,Blotch-necked moray,Muraenidae,benthic,species,40.7,24.1,68.7,0.452,0.268,0.733,0.121,0.057,0.309,19.5,17.3,21.9,46.8,26.8,86,58.2,16.8,185.1,1.06,0.74,1.47
Gymnothorax melatremus,Dwarf moray,Muraenidae,pelagic,genus,80.6,46.2,144.8,0.578,0.33,0.952,0.147,0.07,0.39,19.6,17.4,22,38.9,20.6,74.7,89.4,24.7,283.6,1.26,0.88,1.75
Gymnothorax meleagris,Turkey moray,Muraenidae,pelagic,species,30.6,14.5,59.9,0.544,0.32,1.03,0.246,0.095,0.712,18.3,16,20.7,47.3,20.5,107.5,115,25,491,1.02,0.65,1.62
Gymnothorax pictus,Paintspotted moray,Muraenidae,pelagic,species,28.1,13.3,55.9,0.51,0.3,0.97,0.247,0.096,0.726,18.4,16.1,20.8,49,21,112,118,26,509,0.948,0.601,1.516
Gymnothorax pindae,Pinda moray,Muraenidae,pelagic,genus,65.9,37.7,115.8,0.527,0.301,0.864,0.142,0.067,0.368,19.6,17.4,22,40.9,22.3,77.5,83.6,23.8,269.5,1.17,0.82,1.63
Gymnothorax richardsonii,Richardson's moray,Muraenidae,pelagic,genus,73.4,42.2,130.7,0.554,0.317,0.91,0.144,0.069,0.379,19.6,17.4,22,39.8,21.5,76.6,86.1,23.7,273.9,1.22,0.86,1.69
Gymnothorax robinsi,Robins' moray,Muraenidae,pelagic,genus,117,65,221,0.678,0.384,1.128,0.16,0.07,0.42,19.6,17.3,21.9,35.6,17.7,70.5,105,29,344,1.44,1,2.05
Gymnothorax rueppelliae,Banded moray,Muraenidae,benthic,species,49.7,23.8,94.7,0.528,0.316,1.01,0.251,0.101,0.714,18.5,16.2,20.9,45.2,20.3,100.2,86.7,19.9,337.2,1.27,0.81,1.95
Gymnothorax undulatus,Undulated moray,Muraenidae,benthic,species,29.3,13.9,56.3,0.449,0.27,0.846,0.214,0.084,0.603,18.4,16.1,20.8,51.4,23.9,117.7,59.5,13.4,242.8,1.14,0.72,1.77
Gymnothorax zonipectis,Barredfin moray,Muraenidae,pelagic,genus,55,32,95,0.488,0.278,0.801,0.136,0.065,0.354,19.7,17.5,22,42.8,23.9,81.6,76.8,21.9,245.8,1.1,0.8,1.5
Halichoeres cosmetus,Adorned wrasse,Labridae,benthic,genus,101,60,209,0.807,0.478,1.367,0.165,0.102,0.262,18.7,15.8,20.9,29,16,50,117,40,372,1.88,1.28,3.31
Halichoeres hortulanus,Checkerboard wrasse,Labridae,benthic,species,74.1,45.4,151.6,0.794,0.491,1.281,0.148,0.096,0.222,18.9,16.1,21.2,38.7,22.7,62.5,55.4,19,172.5,1.53,1.08,2.73
Halichoeres iridis,,Labridae,benthic,genus,110,65,232,0.836,0.493,1.418,0.168,0.103,0.271,18.6,15.8,20.9,28.1,15.4,50,123,41,394,1.94,1.31,3.42
Halichoeres marginatus,Dusky wrasse,Labridae,benthic,genus,87.6,53.4,180.2,0.832,0.513,1.361,0.152,0.097,0.233,18.7,15.9,20.9,33.5,19.3,55.8,73.8,25.4,231.2,1.77,1.22,3.1
Halichoeres nebulosus,Nebulous wrasse,Labridae,benthic,genus,74.3,37.5,169,1.24,0.7,2.28,0.243,0.135,0.445,19.2,16.4,21.5,13.4,6.8,27.8,71.1,20,282.6,1.53,0.94,2.88
Halichoeres scapularis,Zigzag wrasse,Labridae,benthic,species,83.1,51.6,170,0.776,0.466,1.267,0.156,0.1,0.239,18.8,16,21.1,33.8,19.7,56.5,82.4,28.2,250.1,1.64,1.15,2.91
Halichoeres timorensis,Timor wrasse,Labridae,benthic,genus,108,64,227,0.831,0.491,1.409,0.167,0.103,0.267,18.6,15.8,20.9,28.6,15.7,50.4,119,40,381,1.92,1.3,3.38
Halichoeres trispilus,Triplespot wrasse,Labridae,benthic,genus,126,73,269,0.876,0.509,1.506,0.174,0.104,0.287,18.6,15.8,20.9,26.7,14.3,48.9,136,44,449,2.05,1.37,3.62
Halichoeres zeylonicus,Goldstripe wrasse,Labridae,benthic,genus,72.3,44.8,138.5,0.696,0.413,1.177,0.154,0.099,0.231,18.7,15.9,21,32,19,52,107,37,330,1.66,1.16,2.92
Helcogramma fuscopinna,Blackfin triplefin,Tripterygiidae,benthic,genus,289,140,711,1.46,0.82,2.63,0.149,0.073,0.305,18.5,17.2,19.7,24.6,10.4,57,158,48,513,2.2,1.4,3.5
Hemiglyphidodon plagiometopon,Lagoon damselfish,Pomacentridae,benthic,species,62,35,105,0.729,0.47,1.201,0.116,0.069,0.186,18.3,17.1,19.5,26.6,13.4,53,46.2,11.8,176.4,1.59,1.03,2.41
Hemigymnus fasciatus,Barred thicklip,Labridae,benthic,species,42.9,17.8,115.7,0.605,0.355,1.011,0.163,0.083,0.321,18.8,15.9,21,32.3,11.8,84.1,97.8,33.9,300.8,2.7,1,5.1
Hemigymnus melapterus,Blackeye thicklip,Labridae,benthic,species,34.9,14.3,94.5,0.535,0.301,0.91,0.16,0.08,0.32,18.8,15.9,21.1,32.5,11.6,85.5,109,37,341,2.52,0.92,4.72
Hemiramphus far,Black-barred halfbeak,Hemiramphidae,pelagic,species,79.5,30.2,207,1.31,0.58,2.6,0.334,0.122,0.993,18.3,16,20.5,21.9,7.4,58.6,34.3,6.6,178,1.4,0.8,2.6
Hemitaurichthys zoster,Brown-and-white butterflyfish,Chaetodontidae,pelagic,species,78,45,129,0.924,0.591,1.537,0.148,0.089,0.241,18.8,17.8,19.9,28.7,14.5,54.9,70.2,23.2,218.7,1.19,0.79,1.79
Heniochus acuminatus,Pennant coralfish,Chaetodontidae,benthic,species,94.8,47.2,167.9,0.9,0.5,1.8,0.275,0.135,0.576,18,17,19,30,11,72,57.3,14.8,207.3,1.57,0.99,2.43
Heniochus monoceros,Masked bannerfish,Chaetodontidae,benthic,species,75.5,46,122.8,0.707,0.467,1.171,0.14,0.09,0.21,19.2,18.2,20.2,31,18,57,46.5,15.5,140.3,1.2,0.8,1.7
Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae,pelagic,species,8.25,1.47,26.7,0.239,0.058,0.615,0.252,0.115,0.553,17.6,15.6,19.6,18.1,5.4,50.1,14.9,3.8,52.4,0.26,0.13,0.55
Herklotsichthys quadrimaculatus,Bluestripe herring,Clupeidae,pelagic,species,133,58,281,1.51,0.77,2.95,0.51,0.22,1.22,18.9,17.7,20.1,42,16,100,50.8,13.1,199.7,1.53,0.98,2.5
Heteroconger hassi,Spotted garden-eel,Congridae,pelagic,species,56.5,31.7,97,0.742,0.491,1.159,0.128,0.06,0.324,19.1,15.8,21.7,44.2,22.5,81.2,63.5,18.3,208.7,1.19,0.83,1.69
Heteropriacanthus cruentatus,Glasseye,Priacanthidae,benthic,species,28.4,15.7,58.1,1.07,0.64,1.74,0.218,0.135,0.362,20.1,19.1,21,20.1,11.1,36.5,41.4,14.4,113,0.759,0.522,1.154
Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae,pelagic,species,15,2,53,0.675,0.17,1.733,0.233,0.108,0.517,19.4,17.3,21.4,43.7,11.8,121.2,6.37,2.08,20.33,0.321,0.158,0.681
Himantura uarnak,Honeycomb stingray,Dasyatidae,benthic,species,8.65,1.17,52.23,0.732,0.122,2.848,0.248,0.07,0.829,21.2,18.4,23.9,16.8,3.1,74.4,20.2,3.3,121.9,0.679,0.168,2.818
Hippocampus histrix,Thorny seahorse,Syngnathidae,benthic,species,136,76,252,0.826,0.52,1.335,0.129,0.077,0.228,18.6,17.5,19.8,37.5,19,75.5,62.7,22.1,169.2,1.59,1.09,2.26
Hippocampus whitei,White's seahorse,Syngnathidae,benthic,genus,168,81,352,0.58,0.33,1,0.573,0.307,1.105,18.2,17,19.5,19.8,8.3,48.6,7.52,2.12,26.29,0.865,0.574,1.311
Hipposcarus harid,Candelamoa parrotfish,Scaridae,benthic,species,25,13,45,0.548,0.324,0.925,0.0942,null,null,18.7,16.6,20.6,42.3,20.7,91.2,28,8,93,1.33,0.87,2.11
Histrio histrio,Sargassumfish,Antennariidae,pelagic,species,38.2,18.6,80.5,0.85,0.47,1.65,0.225,0.082,0.526,19.8,17.4,22.9,11.1,4.3,26.2,163,40,622,0.805,0.456,1.43
Hologymnosus annulatus,Ring wrasse,Labridae,pelagic,species,40.5,23.2,72.3,0.601,0.338,1.016,0.163,0.101,0.248,18.8,16,21.1,34.9,19.6,63.3,184,65,567,1.1,0.7,2
Hologymnosus doliatus,Pastel ringwrasse,Labridae,benthic,species,44.6,25.5,76.7,0.469,0.268,0.843,0.0967,null,null,18.5,15.6,20.8,40.5,23,72.8,90.3,29.1,296.5,1.33,0.88,2.36
Hypoatherina barnesi,Barnes' silverside,Atherinidae,pelagic,genus,142,78,267,0.741,0.412,1.245,0.124,0.05,0.301,20.7,18.2,23.2,28.2,14,56.2,158,53,439,1.84,1.22,2.72
Hypoatherina temminckii,Samoan silverside,Atherinidae,pelagic,species,103,55,195,0.806,0.483,1.33,0.127,0.049,0.322,20.4,17.9,23,28.9,13.5,56.6,225,78,607,1.57,1.04,2.35
Hyporhamphus dussumieri,Dussumier's halfbeak,Hemiramphidae,pelagic,species,171,61,461,0.681,0.308,1.526,0.131,0.061,0.329,19.3,17.3,21,27.8,9,74.9,357,97,"1,007",1.61,0.64,2.99
Iniistius pavo,Peacock wrasse,Labridae,benthic,species,42.5,26.3,73.3,0.546,0.318,0.911,0.138,0.093,0.199,18.8,16,21.1,37.4,22.4,57.8,87.5,30.6,270.3,1.33,0.95,2.34
Iniistius pentadactylus,Fivefinger wrasse,Labridae,benthic,species,62.7,39,117.4,0.638,0.374,1.074,0.153,0.1,0.226,18.8,16,21.1,33.4,19.6,53.2,106,37,326,1.52,1.07,2.68
Inimicus filamentosus,Two-stick stingfish,Synanceiidae,pelagic,genus,66.1,34.1,162.5,0.579,0.3,1.053,0.215,0.101,0.57,18.1,16.6,19.5,34.7,17.2,76.4,142,51,381,1.3,0.9,1.9
Istiblennius dussumieri,Streaky rockskipper,Blenniidae,benthic,species,141,60,290,1.12,0.6,2.2,0.19,0.08,0.44,17,16,18,29,12,72,72.5,15.8,311.2,2.84,1.76,4.87
Istiblennius edentulus,Rippled rockskipper,Blenniidae,benthic,species,111,47,226,1.01,0.54,1.97,0.181,0.079,0.409,17,16,18,30.3,12.9,75.4,68.5,14.9,295.3,2.62,1.63,4.46
Istiblennius lineatus,Lined rockskipper,Blenniidae,benthic,species,89.3,46.6,167.9,0.79,0.49,1.35,0.092,0.05,0.165,18.2,17.1,19.3,31.6,15.1,67.1,53.8,15.5,187,2.04,1.31,3.2
Istigobius decoratus,Decorated goby,Gobiidae,benthic,genus,101,55,199,0.774,0.429,1.313,0.153,0.079,0.252,18.6,16.8,20.3,28.2,15.1,49.6,92.3,28.1,262.4,1.69,1.06,2.56
Istigobius ornatus,Ornate goby,Gobiidae,benthic,species,153,66,309,1,1,2,0.325,0.135,0.76,17.5,15.7,19.2,24.7,9.4,59,141,34,509,2.22,1.32,3.63
Istigobius spence,Pearl goby,Gobiidae,benthic,genus,181,77,372,1.11,0.61,2.24,0.325,0.131,0.781,17.3,15.5,19,22.5,9.1,54.7,149,36,565,2.54,1.51,4.2
Istiompax indica,Black marlin,Istiophoridae,pelagic,species,19.7,10.9,37.6,0.929,0.562,1.459,0.246,0.139,0.432,19.8,18.8,20.8,47.2,23.9,91.5,6.99,2.35,22.91,0.423,0.294,0.619
Istiophorus platypterus,Indo-Pacific sailfish,Istiophoridae,pelagic,species,26.4,14.9,49.4,1.08,0.66,1.68,0.259,0.148,0.446,19.9,18.8,20.8,45.8,23.9,86.9,6.6,2.3,21.3,0.458,0.321,0.662
Isurus oxyrinchus,Shortfin mako,Lamnidae,pelagic,species,12,1,43,0.957,0.268,2.392,0.395,0.173,0.83,20.7,18.2,22.8,28.5,8.1,74.7,8.36,2.81,25.28,0.358,0.173,0.76
Kajikia audax,Striped marlin,Istiophoridae,pelagic,species,32.4,16.5,65.1,1.36,0.74,2.27,0.255,0.133,0.484,20.2,19.1,21.2,57.5,26.1,124.6,2.9,0.8,11.5,0.437,0.282,0.697
Katsuwonus pelamis,Skipjack tuna,Scombridae,pelagic,species,145,40,349,1.99,0.49,4.83,0.471,0.225,1.033,22.4,21,23.6,91.9,31.8,248.8,3.97,0.88,31.91,1.52,0.41,3.3
Kaupichthys diodontus,Common false moray,Chlopsidae,pelagic,family,64.6,36.9,116.6,0.483,0.251,0.827,0.144,0.067,0.382,19.4,17.1,21.7,34.8,18.3,67.2,142,38,491,1.27,0.86,1.82
Koumansetta hectori,Hector's goby,Gobiidae,benthic,species,137,62,288,0.887,0.482,1.703,0.0964,null,null,17.6,15.7,19.4,26.2,11.9,62.4,69.2,15.9,271,2.36,1.31,3.91
Kuhlia mugil,Barred flagtail,Kuhliidae,pelagic,species,45.5,22.5,83.5,0.728,0.43,1.357,0.305,0.151,0.643,18,17,19,30.1,14,72.8,214,60,774,1.33,0.85,2.07
Kuhlia rupestris,Rock flagtail,Kuhliidae,benthic,species,49.5,26.4,83.9,0.678,0.42,1.215,0.265,0.141,0.503,18,17,19,34.5,17.7,69,88.1,26.8,289.6,1.57,1.06,2.31
Kyphosus bigibbus,Brown chub,Kyphosidae,benthic,species,23.2,12.5,42.3,0.497,0.311,0.846,0.0914,null,null,18.6,17.3,19.8,38.8,17.1,80.5,24.1,5.6,97.7,1.08,0.69,1.68
Kyphosus cinerascens,Blue sea chub,Kyphosidae,benthic,species,38.2,25.2,64.2,0.583,0.391,0.837,0.125,0.093,0.168,19.2,18.3,20.1,40.7,26.1,64,45.3,18.2,112.3,1.21,0.9,1.59
Kyphosus vaigiensis,Brassy chub,Kyphosidae,benthic,species,24.5,13.2,44.1,0.507,0.319,0.859,0.0925,null,null,18.6,17.3,19.7,38.3,17,78.7,24.6,5.8,99.5,1.1,0.7,1.7
Labrichthys unilineatus,Tubelip wrasse,Labridae,benthic,species,79.2,48.7,154.3,0.738,0.442,1.244,0.154,0.098,0.235,18.6,15.8,20.9,31.2,18,50.9,104,36,328,1.75,1.21,3.07
Labroides bicolor,Bicolor cleaner wrasse,Labridae,pelagic,species,111,63,221,0.673,0.373,1.235,0.121,0.07,0.215,18.4,15.6,20.7,31.2,15.8,62.3,144,46,509,1.79,1.16,3.22
Labroides dimidiatus,Bluestreak cleaner wrasse,Labridae,pelagic,species,111,62,218,0.727,0.43,1.305,0.114,0.065,0.199,18.2,15.4,20.5,31.3,16.4,59.6,115,37,394,1.96,1.27,3.5
Labropsis xanthonota,Yellowback tubelip,Labridae,benthic,species,96.1,56.9,195.4,0.857,0.52,1.449,0.153,0.093,0.242,18.4,15.6,20.7,29.5,16.5,49.9,92.4,31.2,300.6,2.02,1.37,3.51
Lactoria cornuta,Longhorn cowfish,Ostraciidae,benthic,species,60.2,20.3,126.8,0.746,0.404,1.573,0.236,0.105,0.549,17.7,15.4,19.9,36.1,14.6,87.9,53.6,13.2,200.1,1.32,0.81,2.15
